Country Name,Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Japan,Forest area (sq. km),249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249425.9961,249351.9922,249278.0078,249204.0039,249130,249055.9961,248981.9922,248908.0078,248834.0039,248760,248878.0078,248995.9961,249114.0039,249231.9922,249350,249411.9922,249474.0039,249535.9961,249598.0078,249660,249644.0039,249628.0078,249611.9922,249595.9961,249580,249564.0039
South Korea,Forest area (sq. km),63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63700,63617.99805,63536.00098,63453.99902,63372.00195,63290,63207.99805,63126.00098,63043.99902,62962.00195,62880,62813.99902,62747.99805,62682.00195,62616.00098,62550,62483.99902,62417.99805,62352.00195,62286.00098,62220,62143.99902,62067.99805,61992.00195,61916.00098,61840,61763.99902
Mexico,Forest area (sq. km),697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,697600,695696.0156,693792.0313,691887.9688,689983.9844,688080,686176.0156,684272.0313,682367.9688,680463.9844,678560,677013.9844,675467.9688,673922.0313,672376.0156,670830,669660,668490,667320,666150,664980,664063.9844,663147.9688,662232.0313,661316.0156,660400,659483.9844
Russian Federation,Forest area (sq. km),8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8090136.25,8090455,8090773.125,8091091.875,8091410.625,8091729.375,8092047.5,8092366.25,8092685,8091728.125,8090771.25,8089813.75,8088856.875,8087900,8100591.25,8113282.5,8125973.75,8138665,8151356.25,8150945.625,8150535.625,8150125.625,8149715,8149305,8148895
Saudi Arabia,Forest area (sq. km),9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770
Turkey,Forest area (sq. km),96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96220,96780.99609,97342.00195,97902.99805,98464.00391,99025,99585.99609,100147.002,100707.998,101269.0039,101830,102787.998,103745.9961,104704.0039,105662.002,106620,107702.002,108784.0039,109865.9961,110947.998,112030,113054.0039,114077.998,115102.002,116125.9961,117150,118174.0039
United States,Forest area (sq. km),3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3025585.938,3026671.875,3027758.125,3028844.063,3029930,3031015.938,3032101.875,3033188.125,3034274.063,3035360,3037801.875,3040244.063,3042685.938,3045128.125,3047570,3055495.938,3063421.875,3071348.125,3079274.063,3087200,3089950,3092700,3095450,3098200,3100950,3103700
South Africa,Forest area (sq. km),92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410
Argentina,Population,23880561,24259561,24653175,25056478,25462302,25865776,26264681,26661398,27061047,27471036,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368
Australia,Population,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907
Brazil,Population,95113265,97482920,99859383,102259497,104706198,107216205,109790938,112425392,115121153,117878411,120694009,123570327,126498314,129448819,132383568,135274080,138108912,140891602,143627503,146328304,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058
Canada,Population,21324000,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487
China,Population,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
Germany,Population,78169289,78312842,78688452,78936666,78967433,78673554,78336950,78159814,78091820,78126350,78288576,78407907,78333366,78128282,77858685,77684873,77720436,77839920,78144619,78751283,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669
European Union,Population,441986158,444288192,447081048,449719264,452179363,454542377,456685457,458618982,460468272,462298836,464225439,465947860,467248876,468335580,469368776,470497179,471780193,473103906,474581370,476149867,477725565,479155422,480544294,482059744,483264869,484222373,485063813,485855012,486597004,487497959,488221138,489015301,490252423,492063516,494028141,495983155,497844869,499790863,501683669,503194070,504298777,504005894,505096232,506597697,508193856,509717579,511218529
France,Population,51957738,52371342,52793138,53207734,53592233,53931390,54220022,54467702,54691851,54917118,55161527,55430296,55718933,56023770,56337666,56654696,56976123,57302663,57627105,57940212,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66316100,66593366,66859768
United Kingdom,Population,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565
Indonesia,Population,114793178,117880144,121017314,124199687,127422211,130680727,133966941,137278058,140621730,144009845,147447836,150938232,154468229,158009246,161523347,164982451,168374287,171702763,174975954,178209150,181413402,184591903,187739786,190851175,193917462,196934260,199901228,202826446,205724592,208615169,211513823,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226
India,Population,555189792,567868018,581087256,594770134,608802600,623102897,637630087,652408776,667499806,682995354,698952844,715384993,732239504,749428958,766833410,784360008,801975244,819682102,837468930,855334678,873277798,891273209,909307016,927403860,945601831,963922588,982365243,1000900030,1019483581,1038058156,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589
Italy,Population,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498
Japan,Population,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511
South Korea,Population,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707
Mexico,Population,51493565,53076373,54689943,56324303,57966804,59607953,61242190,62869903,64494869,66123897,67761372,69407624,71058654,72709299,74352631,75983485,77599098,79200081,80788721,82368931,83943132,85512623,87075138,88625440,90156400,91663285,93147044,94611002,96056321,97484832,98899845,100298153,101684758,103081020,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376
Russian Federation,Population,130404000,131155000,131909000,132669000,133432000,134200000,135147000,136100000,137060000,138027000,139010000,139941000,140823000,141668000,142745000,143858000,144894000,145908000,146857000,147721000,148292000,148624000,148689000,148520000,148336000,148375726,148160042,147915307,147670692,147214392,146596557,145976083,145306046,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396
Saudi Arabia,Population,5836389,6100626,6392970,6711923,7054532,7419493,7802926,8207697,8646845,9137927,9691476,10311775,10988853,11701128,12418834,13118993,13794165,14445671,15070082,15666297,16233785,16772694,17282691,17763298,18214470,18638787,19033845,19407142,19783304,20194527,20663843,21202642,21805313,22456649,23132682,23816183,24498310,25184597,25888541,26630303,27421461,28267685,29155187,30052518,30916994,31717667,32442572
Turkey,Population,34876303,35720599,36587261,37472336,38370283,39277258,40189567,41108297,42039992,42994041,43975971,44988414,46025411,47073472,48114155,49133937,50128541,51100924,52053765,52992487,53921760,54840590,55748948,56653804,57564204,58486456,59423282,60372568,61329676,62287397,63240194,64192243,65145367,66089402,67010930,67903469,68756810,69581848,70418604,71321399,72326988,73443863,74653016,75928564,77231907,78529409,79821724
United States,Population,205052000,207661000,209896000,211909000,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342
South Africa,Population,22069776,22665271,23281508,23913099,24552540,25195187,25836888,26480913,27138965,27827320,28556769,29333103,30150448,30993758,31841593,32678874,33495953,34297727,35100909,35930050,36800509,37718950,38672607,39633750,40564059,41435758,42241011,42987461,43682260,44338543,44967708,45571274,46150913,46719196,47291610,47880601,48489459,49119759,49779471,50477011,51216964,52004172,52834005,53689236,54545991,55386367,56203654
Argentina,Greenhouse gas emissions (kt of CO2 equivalent),221957.023,213551.7884,223912.2788,226956.0333,229456.38,233416.77,247051.66,247370.86,248238.32,255920.06,253870.99,245776.76,243613.02,248681.79,243111.57,238145.75,250785.28,256953.81,266245.22,265608.3,266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204,380295.3204,380295.3204,380295.3204,380295.3204
Australia,Greenhouse gas emissions (kt of CO2 equivalent),319036.599,314446.149,355430.771,333243.563,355842.865,377568.654,407572.606,414927.113,377956.134,412123.022,433837.438,387882.439,428739.962,386673.558,398135.519,456717.644,434735.105,412842.803,434706.164,460970.008,482298.262,499346.73,486991.982,479463.744,522429.54,489294.147,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739,761686.2739,761686.2739,761686.2739,761686.2739
Brazil,Greenhouse gas emissions (kt of CO2 equivalent),1260982.146,968552.518,1138194.337,1022867.644,1098489.802,1214606.743,1384864.346,1173040.901,1343364.23,1415028.578,1499555.516,1392080.679,1445809.236,1458951.572,1260054.274,1322535.347,1405162.361,1612857.168,1454114.831,1476408.951,1606209.334,1569962.22,1649183.804,1772640.53,1455453.224,1574445.629,1613760.437,1647413.793,2263725.63,1595863.26,1222630.43,1277451.88,1591827.05,1624554.7,1967427.39,2386439.68,1621079.23,2703498.56,1532859.83,1211969.408,2902242.618,2953040.519,2989417.957,2989417.957,2989417.957,2989417.957,2989417.957
Canada,Greenhouse gas emissions (kt of CO2 equivalent),494973.635,512428.63,497317.478,520459.86,538398.95,529890.87,580939.23,574647.58,550135.81,656571.07,711937.51,699416.91,576432.38,573187.34,569374.51,576740.45,565869.57,571107.67,623176.96,794055.04,608685,626149.44,618673.62,655593.66,807222.82,836025.63,698763.38,690068.75,1129087.11,821594.26,760643,718534.46,908686.15,951373.04,1040136.77,849798.74,894922.55,892066.85,908926,749863.654,764137.6753,1033481.982,1027063.855,1027063.855,1027063.855,1027063.855,1027063.855
China,Greenhouse gas emissions (kt of CO2 equivalent),1873971.675,1914331.77,1999689.065,2057487.38,2073854.51,2264422.92,2327790.4,2516150.877,2726399.89,2773803.817,2757430.09,2724309.237,2815057.937,2950585.591,3135783.747,3142896.374,3282780.787,3349248.613,3680670.847,3800686.21,3892675.16,4035212.607,4172493.295,4398290.82,4613489.247,5042349.12,5181880.514,5113706.854,5141402.7,5079293.7,5082325.6,5145521.55,5474914.9,6226962.5,7116642.4,7803535.6,8573395.4,9124046.5,10022024.8,10617264.9,11183810.6,12064260,12454710.61,12454710.61,12454710.61,12454710.61,12454710.61
Germany,Greenhouse gas emissions (kt of CO2 equivalent),1286569.85,1283784.3,1300781.18,1364682.32,1336033.72,1273609.66,1336497.06,1315704.67,1357268.4,1411701.43,1354782.98,1317791.85,1267150.22,1268455.75,1291691.56,1301253.1,1302264.97,1306982.38,1294253.92,1278982.32,1256074.03,1219016.83,1158796.5,1147631.32,1135937.69,1131718.77,1153137.92,1122917.37,1060398.257,1020391.257,1016295.545,1025983.5,1007404.927,1017485.978,1016628.79,981287.6843,994686.0458,972896.2254,992116.3026,950463.4086,948006.7542,929540.2634,951716.7111,951716.7111,951716.7111,951716.7111,951716.7111
European Union,Greenhouse gas emissions (kt of CO2 equivalent),5435016.121,5471160.02,5618696.692,5899291.108,5837678.03,5732401.553,6008722.257,6026862.546,6179286.452,6385749.34,6212891.968,6030298.365,5898277.954,5876516.493,5881427.869,5931757.883,5974702.251,5973710.553,6005000.705,5996799.418,5692720.793,5595510.517,5399872.425,5276954.553,5267323.82,5324011.907,5411909.136,5318851.567,5183115.749,5061972.728,5121050.564,5140262.447,5106069.558,5223719.346,5219034.57,5183933.055,5186381.63,5133722.155,5053634.024,4758745.151,4847306.347,4728177.558,4702090.246,4702090.246,4702090.246,4702090.246,4702090.246
France,Greenhouse gas emissions (kt of CO2 equivalent),614501.57,629907.505,650356.94,691091.495,674903,634882.235,679365.4,667440.965,687571.95,697434.69,675156.85,621534.31,597074.4,584373.15,575218.36,561940.72,549474.89,547516.39,533912.04,547917.63,554685.28,580971.95,564014.19,541094.38,538140.6,543013.14,572529.08,565220.99,577851.541,563699.027,559922.199,565204.3298,557850.1275,564607.176,560648.8432,557130.1263,547361.3761,540947.1359,544424.0617,527525.7765,532133.0404,502656.655,499146.6345,499146.6345,499146.6345,499146.6345,499146.6345
United Kingdom,Greenhouse gas emissions (kt of CO2 equivalent),839587.41,837410.77,822151.68,863336.04,823515.68,809418.44,824663.31,833515.83,830538.8,876952.44,806582.53,789385.06,772803.8,763225.32,730850.52,766610.11,786061.18,785723.22,787867.03,775919.13,777244.23,782637.35,761019.6,733575.46,728677.75,728336.09,744362.82,716185.48,705167.71,680102.478,673897.408,683080.0911,661572.36,670993.347,662917.5991,659108.0918,658331.2438,646412.1481,635417.1726,584940.8797,609586.561,568061.8289,585779.7833,585779.7833,585779.7833,585779.7833,585779.7833
Indonesia,Greenhouse gas emissions (kt of CO2 equivalent),339677.08,294004.88,733432.92,409241.71,329453.15,329119.33,482736.65,833788.53,502384.1,696521.76,714214.48,637827.33,2488671.33,1105446.85,711331.59,745108.85,1117713.93,1760930.26,813977.91,888790.51,1165113.41,2212869.12,2097491.51,1396509.98,2156232.29,1315570.67,1314060.75,5040841.3,1191187.16,668887.6,622464.65,849945.65,1720445.17,888646.15,1060213.55,1171042.59,2381293.72,772946.22,796581.92,1148285.679,744790.0241,763553.1649,780550.764,780550.764,780550.764,780550.764,780550.764
India,Greenhouse gas emissions (kt of CO2 equivalent),746498.11,754018.475,767242.36,773571.615,796885.36,827298.045,852598.24,871680.045,875174.32,905452.595,929414.77,979738.35,1011305.49,1059291.57,1117754.1,1140356.79,1199500.61,1202058.62,1305250.63,1365390.78,1387371.82,1443266.28,1486420.6,1521727.9,1581028.22,1651503.01,1708836.97,1761537.39,1768965,1956039,1885189,1875600.85,1917294.66,1976449.15,2090334.85,2117460.59,2232760.11,2382011.76,2438714.28,2594639.917,2771456.756,2828845.829,3002894.928,3002894.928,3002894.928,3002894.928,3002894.928
Italy,Greenhouse gas emissions (kt of CO2 equivalent),388249.306,398701.797,416781.6244,442434.685,444569.749,425696.331,454591.3069,446956.652,457629.696,475665.266,477727.329,466863.848,456718.484,451604.575,460419.075,462915.588,464970.255,470135.089,497868,517577.285,508764.943,506084.173,504110.294,496267.322,493411.783,518470.761,507338.856,508373.858,519046.022,521472.006,547349.86,543360.171,550782.069,564951.183,562794.853,564114.951,563324.943,547383.143,529283.803,480698.2231,489460.1327,482619.0375,482634.0003,482634.0003,482634.0003,482634.0003,482634.0003
Japan,Greenhouse gas emissions (kt of CO2 equivalent),941132.584,960481.941,1009126.08,1127133.34,1124069.401,1067710.651,1101910.151,1133256.77,1131050.16,1159212.2,1136091.34,1105577.59,1063683.99,1070491.43,1137483.61,1112813.49,1111249.55,1111018.94,1186749.6,1216856.651,1304676.03,1318933.78,1330643.26,1333072.7,1385835.23,1421640.91,1424112.7,1414397.05,1371363.01,1399008.939,1406194.588,1387952.208,1422453.194,1428102.126,1427399.203,1439905.158,1425898.63,1461356.118,1385164.839,1290243.648,1350427.913,1396767.261,1478858.881,1478858.881,1478858.881,1478858.881,1478858.881
South Korea,Greenhouse gas emissions (kt of CO2 equivalent),88641.352,89248.78,91340.252,107014.039,112906.55,120964.237,130213.924,144910.923,155967.54,172533.275,175229.771,181587.53,180766.923,192747.731,208165.762,215092.052,224294.641,225840.175,258382.665,270117.802,300501.326,328691.416,354614.82,385035.318,418012.512,453629.667,487344.746,513934.866,450493.845,489986.3208,512819.936,522374.159,534839.283,546211.1138,562450.9571,561372.5433,565697.2007,575558.3818,594982.1988,594493.2022,628838.7211,650085.5349,668989.6514,668989.6514,668989.6514,668989.6514,668989.6514
Mexico,Greenhouse gas emissions (kt of CO2 equivalent),210547.8556,215289.415,229445.067,241668.377,266400.717,280289.646,292167.457,304657.545,332679.42,362012.517,387137.41,407085.783,452477.328,420752.599,436648.98,443037.14,442988.942,454482.357,462185.197,473325.8,494151.02,505174.028,494645.64,502121.057,520225.772,515961.212,532804.427,539136.339,692323.18,553847.34,576489.52,547960.58,567679.66,601685.72,567790.06,641308.82,642137.77,646318.66,644167.96,648860.0791,643375.4336,652861.2915,663424.9544,663424.9544,663424.9544,663424.9544,663424.9544
Russian Federation,Greenhouse gas emissions (kt of CO2 equivalent),2240872.97,2244826.89,2405407.75,2450946.31,2531226.89,2692997.65,2800716.03,2847656.5,2914879.88,2964555.53,3028837.5,3032439.53,3060875.9,3076796.39,3113508.6,3147716.56,3237017.69,3294290.42,3376294.37,3390140.82,3593581.92,3391970.11,3128013.23,3013967.26,2707580.73,2645144.69,2718564.86,2457479.79,3459685.66,2512656.97,2771222,2649244.38,2984844.66,3542027.45,2413520.92,2527172.17,2748951.04,2604102.33,2995286.6,2562920.978,2603289.63,2777724.31,2803398.488,2803398.488,2803398.488,2803398.488,2803398.488
Saudi Arabia,Greenhouse gas emissions (kt of CO2 equivalent),78220.3308,94020.5889,121325.1278,162521.6331,171400.4395,140263.476,173655.1887,184501.8835,187608.1556,216984.5731,260541.6713,237000.734,230347.819,223068.247,170933.586,170933.586,170933.586,170933.586,170933.586,170933.586,170933.586,170933.586,170933.586,170933.586,170933.586,262037.697,276181.966,280673.769,292876.646,295772.016,310713.5,321603.515,336300.494,355029.43,355029.43,355029.43,355029.43,419852.998,446765.124,471266.3266,471266.3266,514967.2626,514967.2626,514967.2626,514967.2626,514967.2626,514967.2626
Turkey,Greenhouse gas emissions (kt of CO2 equivalent),94428.85,99374.045,108791.1739,115255.655,118498.562,126182.61,136679.436,146624.723,146792.691,141905.285,146951.184,150438.512,158937.322,163446.14,170409.118,175454.826,187199.933,193604.769,198660.212,212147.125,224459.0446,226728.432,237906.463,244901.253,240893.454,261203.422,278000.492,289681.095,295884.83,295553.274,316464.841,297564.107,310061.148,323781.172,333497.624,347595.11,377156.061,406298.253,399181.904,404636.7231,422721.8742,434798.4612,445640.0784,445640.0784,445640.0784,445640.0784,445640.0784
United States,Greenhouse gas emissions (kt of CO2 equivalent),5400503.5,5440420.62,5704297.25,5912971.38,5756864.1,5539255.42,5868459.65,6048233.1,6054464.7,6135462.9,5896082.8,5830249.4,5534118,5524777.8,5761217.3,5776897.6,5731026.3,5743632.7,6185748,6221391.6,6136093.5,6073643.8,6137498.4,6282704.3,6374979.2,6365296.6,6577713.1,6724414.4,6749016.1,6808137.8,6969123.8,6821235.6,6981786.8,6991255.2,7244271.5,7182808.4,6994086.9,7128951.7,6648991.2,6604068.952,6713348.969,6571653.977,6343840.508,6343840.508,6343840.508,6343840.508,6343840.508
South Africa,Greenhouse gas emissions (kt of CO2 equivalent),253769.713,250418.763,250958.915,269278.453,275680.14,294054.847,308489.576,309765.409,286819.563,298781.005,307875.565,311848.005,309369.215,299856.869,299856.869,299856.869,299856.869,299856.869,299856.869,299856.869,349202.002,343391.118,353846.549,347840.727,355673.58,371350.205,383673.271,403030.554,457895.896,430853.836,420482.753,416031.241,434071.075,456334.126,472713.791,498312.886,480054.73,502130.255,502130.255,502130.255,502130.255,502130.255,502130.255,502130.255,502130.255,502130.255,502130.255
Argentina,Urban population,18836987,19242926,19659181,20084772,20514213,20943260,21370520,21797026,22227673,22668000,23122595,23609667,24118025,24636888,25163825,25695319,26230730,26769637,27309085,27844463,28373007,28887229,29352243,29809452,30260590,30705908,31145811,31579645,32009566,32438320,32867357,33297967,33728934,34159485,34588886,35015695,35439470,35861110,36284569,36714245,37055902,37543830,38027774,38509756,38990109,39467043,39940546
Australia,Urban population,10505755,10887779,11110846,11303156,11614598,11780153,11920613,12077392,12240482,12395391,12569300,12792439,13002993,13162165,13307374,13486012,13704062,13909213,14133874,14370091,14579227,14761055,14920611,15044687,15181749,15342767,15521685,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,19775013,20095657,20410546,20755798
Brazil,Urban population,53176875,55461933,57797612,60184827,62641530,65175659,67790415,70478354,73245834,76091693,79015954,82013626,85085296,88209014,91357900,94505178,97647144,100778354,103903008,107023058,110146163,113265899,116379447,119489196,122608542,125743641,128896593,132175402,135456370,138709641,141915773,144508698,147005321,149452654,151843988,154176524,156447985,158660052,160823508,162949977,165055094,167158525,169240750,171300683,173346772,175375436,177386818
Canada,Urban population,16132459,16710910,16879589,17060238,17272703,17498862,17705309,17923214,18112108,18301934,18549289,18791654,19057229,19287381,19511294,19731489,19967235,20237468,20506939,20883649,21206427,21482271,21813814,22130869,22450573,22760570,23081461,23428320,23739358,24048329,24388404,24757782,25052940,25304780,25566897,25834340,26126316,26441461,26789863,27158023,27522537,27847821,28166078,28479640,28781576,29011826,29357013
China,Urban population,142386810,145443877,148131235,151552570,155688522,159452730,162497601,165293316,171153535,180399661,189947471,199949784,210823843,220472140,230206255,240414890,251325056,262976051,275121076,287504237,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,678933504,699187267,719587859,740239259,761027100,782199374
Germany,Urban population,56496072,56645245,56961784,57186457,57253758,57085531,56885943,56801863,56796181,56865826,57028530,57229147,57267174,57114118,56792461,56485448,56438249,56695484,57044790,57469536,58079842,58625381,59146205,59647492,60028206,60378049,60725922,60986289,61167004,61376500,61629857,61902439,62174878,62376854,62529997,62660267,62753557,62833410,62875807,62877220,62940432,61940177,62064608,62242278,62510392,63062064,63592936
European Union,Urban population,290265110,293449371,296970935,300329967,303535606,306519776,309255533,311940559,314619503,317255252,319897066,322231875,323899301,325288337,326530169,327796302,329285475,331052757,332909509,334623765,336414397,338207884,339885217,341538710,343025092,344342751,345577350,346755773,347890412,349161881,350394604,351835772,353892531,356340103,358892609,361452743,363946890,366523955,369066134,371289917,373226783,374086300,375924737,378039976,380217005,382403439,384606608
France,Urban population,36918571,37424037,37937149,38445780,38934757,39330005,39578989,39798460,40001620,40205371,40423470,40659231,40911627,41177471,41450438,41726184,42005647,42289365,42572024,42846787,43127028,43467991,43785894,44077099,44342923,44604027,44863823,45123550,45390693,45743988,46214923,46709571,47206863,47699501,48209404,48730233,49228316,49690034,50127513,50547198,50961407,51373800,51791144,52228061,52651004,53044946,53432321
United Kingdom,Urban population,42925829,43056861,43295638,43470962,43590038,43677888,43757644,43833733,43925435,44054299,44195960,44271630,44228171,44215089,44257473,44329755,44404206,44470325,44540723,44628280,44733264,44855736,45011752,45154426,45304828,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600299,52130415,52650556,53218629,53813373,54369540
Indonesia,Urban population,19596343,20438059,21515668,22703703,23946456,25243596,26596457,28001978,29468690,30996679,32591870,34436558,36463770,38577957,40774954,43042272,45381922,47793464,50281090,52840795,55483475,58355038,61396542,64522965,67741187,71046004,74433222,77897525,81452538,85098300,88840036,91738482,94698443,97720468,100811250,103961908,107178769,110459097,113814309,117243827,120709130,124016544,127396459,130826016,134287151,137751865,141210511
India,Urban population,109705503,113522495,118082741,122837876,127793754,132920310,138219074,143699557,149379782,155285824,161444128,167521704,173152676,178956141,184906540,190975975,197165614,203469688,209894838,216442440,223096279,229752408,236274335,242896345,249629427,256470883,263440887,270523260,277707327,284978106,292322757,300118524,308796507,317584393,326495067,335503762,344622641,353850625,363154577,372465917,381763166,391040303,400417728,409909187,419568459,429428653,439498772
Italy,Urban population,34592379,35012585,35369083,35720365,36065654,36393136,36687131,36955192,37198851,37418639,37607540,37764025,37819718,37822134,37819273,37818886,37809627,37802166,37809110,37826147,37846480,37861339,37907512,37964793,38006634,38041344,38086153,38140443,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857,40056298,40308358,40502481,40641670,40894259,41548775,42109853,42247229,42351339
