Country Name,Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Russian Federation,Agricultural land (sq. km),2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2216310,2187950,2177110,2164000,2161110,2179890,2172870,2167900,2171620,2168610,2166510,2162770,2159800,2156800,2154880,2154630,2154940,2154500,2139520,2146500,2143500,2168400,2177218.125,2177218.125,2177218.125
Saudi Arabia,Agricultural land (sq. km),864200,864670,865170,865700,866400,866840,867500,868040,868560,869090,869620,870130,870680,872700,924230,976250,1027800,1079800,1131300,1182900,1234810,1236720,1237460,1307850,1377850,1447850,1517850,1587850,1667850,1737850,1737850,1737910,1737930,1737980,1737090,1737170,1736740,1736750,1735720,1734350,1734060,1733880,1733450,1732950,1735752.969,1736354.063,1736190
Turkey,Agricultural land (sq. km),381780,383140,388260,387870,383280,379620,379030,380290,380450,388920,385790,386130,371910,367180,376130,381300,384830,394270,392630,398970,396770,400670,399040,399130,401490,394930,393640,392420,399190,403020,404790,409680,411960,406440,412100,412230,404930,395050,391220,389110,390120,382470,384070,384230,385610,385460,383270
United States,Agricultural land (sq. km),4344000,4333000,4323000,4312000,4301580,4301580,4301580,4303310,4281630,4281630,4281630,4281630,4313990,4313990,4313990,4313990,4313990,4269480,4269480,4269480,4269480,4269480,4254290,4229480,4211390,4201390,4163060,4148850,4145880,4138870,4143990,4149440,4130640,4139250,4115210,4117840,4092148.125,4128575.938,4133125.938,4099606.875,4084261.875,4046693.125,4087065,4058416.875,4078655,4058625,4058625
South Africa,Agricultural land (sq. km),955900,953900,951950,949900,948050,945850,943820,943200,942800,942100,941600,941000,940330,940330,940330,940330,944000,946500,949000,953000,956000,960050,964730,969360,972650,975200,978900,979450,979880,980580,981250,980130,980280,979280,976080,974830,968880,968900,971080,969880,968910,963740,968410,968410,968410,968410,968410
Argentina,CO2 emissions (kt),82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,112147.861,117098.311,121352.031,117927.053,122408.127,127963.632,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192356.152,189851.591,204024.546,204024.546,204024.546
Australia,CO2 emissions (kt),147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263704.971,261471.768,267984.36,277397.549,278119.948,281860.288,302164.467,305794.797,316883.805,325343.574,329443.28,324844.862,341353.696,336271.234,342699.485,350172.831,365346.877,372090.49,385904.079,394792.887,390861.863,391818.95,388126.281,372266.506,361261.839,361261.839,361261.839
Brazil,CO2 emissions (kt),93761.523,102635.663,114362.729,132463.041,143456.707,151164.741,155154.437,162961.48,176925.416,188322.452,187090.34,171806.284,172176.651,166632.147,168806.678,181248.809,198883.412,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,529808.16,529808.16,529808.16
Canada,CO2 emissions (kt),341485.708,352607.719,381136.979,381621.023,389970.782,397143.434,399317.965,408151.768,415896.472,442067.851,443233.957,430003.421,414811.04,408687.15,425595.687,422079.034,405053.153,431349.21,456053.789,463274.112,435181.225,426780.128,440978.752,445580.837,456849.528,467637.842,479419.913,495294.356,506533.711,515389.516,534380.909,527926.989,519335.208,553100.944,552198.862,557417.003,543819.767,554355.058,561028.998,536764.459,534670.602,537112.824,517457.704,517160.677,537193.498,537193.498,537193.498
China,CO2 emissions (kt),771617.474,876633.02,931575.681,968542.708,988014.478,1145607.47,1196193.735,1310310.775,1462168.579,1494859.884,1467192.369,1451501.276,1580260.647,1667029.201,1814908.31,1966553.428,2068969.071,2209708.531,2369501.723,2408540.605,2442431.019,2565594.548,2690455.898,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3850269.326,4540417.061,5233538.733,5896957.705,6529291.518,7030797.772,7553070.247,8001008.965,8776040.416,9733538.12,10028573.94,10258007.13,10291926.88,10291926.88,10291926.88
Germany,CO2 emissions (kt),929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,929973.202,891975.748,877645.112,865558.68,864110.215,889614.2,862276.715,855364.42,822460.429,829977.779,853662.932,829724.756,822812.461,816802.248,797180.131,816472.218,780546.619,780564.954,722263.321,758859.981,732497.918,739861.254,757312.507,719883.438,719883.438,719883.438
European Union,CO2 emissions (kt),3753440.756,3846741.985,3999496.06,4203895.412,4142868.585,4065317.555,4331569.684,4315907.794,4457560.888,4647643.766,4518359.15,4266013.116,4171917.105,4111986.351,4084428.697,4189511.407,4179574.029,4258989.941,4202996.736,4323273.817,4100786.671,4112588.931,3994290.751,3938794.373,3884988.482,3947855.53,4055918.353,3963003.907,3968801.434,3896092.158,3911984.936,3997697.394,3973997.573,4047102.885,4056134.706,4039746.883,4071767.127,4003410.58,3915303.571,3601566.052,3709775.555,3568090.009,3494155.955,3421472.348,3241844.353,3241844.353,3241844.353
France,CO2 emissions (kt),439013.24,462434.369,480729.032,516599.626,499071.366,446919.292,505602.293,480857.377,505858.983,529155.434,505363.938,454700.666,436893.714,422603.415,405342.846,400880.107,385614.386,377491.981,372207.834,390649.177,375691.484,390689.514,365893.26,359916.05,338119.402,349160.739,375306.449,351562.624,377444.31,368918.535,362226.26,377535.985,375075.428,380689.605,383758.884,385368.697,375764.824,369142.222,366325.966,351899.988,353033.091,331804.828,333227.624,334096.703,303275.568,303275.568,303275.568
