country,country_code,category,ind_name,ind_code,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2016,2018
India,IND,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,130402.187,130402.187,195143.072,252201.592,314016.211,426673.785,619154.615,811562.105,1031853.463,1222563.132,1719690.988,1574956.698,1739071.35,1903186.001
Italy,ITA,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,124549.655,124549.655,296740.974,342310.783,388969.691,372134.494,417550.289,430483.798,450564.29,473384.031,405361.181,519372.6114,546494.0101,573615.4088
Japan,JPN,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,283118.069,283118.069,768823.22,870072.757,947571.135,915396.877,1096179.977,1183447.243,1220527.947,1239255.316,1171624.835,1433944.169,1518370.066,1602795.962
South Korea,KOR,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,14462.648,14462.648,53783.889,81829.105,134868.593,178333.544,246943.114,374771.067,447561.017,462922.08,566716.515,604593.4469,667934.2269,731275.0068
Mexico,MEX,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,65305.603,65305.603,114073.036,164472.284,268453.736,288501.225,318427.612,332816.92,398382.88,466361.726,464308.206,536430.762,581579.9328,626729.1035
Russian Federation,RUS,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,1536000.356,1536000.356,1551515.511,1567187.385,1583017.561,1599007.637,1615159.229,1631473.969,1557899.281,1615089.813,1670531.186,1651717.455,1662450.049,1673182.642
Saudi Arabia,SAU,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,3571.658,3571.658,45291.117,83336.242,169404.399,172653.361,185803.223,235161.043,296935.325,397642.146,518491.798,490134.1536,540916.9031,591699.6527
Turkey,TUR,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,17363.245,17363.245,42639.876,65697.972,75763.887,106717.034,145858.592,171974.966,216151.315,237390.579,298002.422,303390.9563,333506.4049,363621.8535
United States,USA,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,2880505.507,2880505.507,4328904.501,4406329.539,4723209.677,4492555.377,4823403.118,5132919.92,5693684.894,5789727.291,5395532.125,6128602.339,6376225.093,6623847.847
South Africa,ZAF,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,102213.958,102213.958,149763.947,185201.835,228454.1,324214.138,313304.813,362259.263,378665.421,416915.898,474099.096,512671.0467,552518.6466,592366.2466
Argentina,ARG,Land,Forest area (sq. km),AG.LND.FRST.K2,347930,347930,347930,347930,347930,347930,347930,333265,318600,301860,285960,271120,268151.9922,259787.7969
Australia,AUS,Land,Forest area (sq. km),AG.LND.FRST.K2,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1286910,1288410,1276410,1232110,1247510,1250590,1243335.333
Brazil,BRA,Land,Forest area (sq. km),AG.LND.FRST.K2,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5339895,5212740,5067340,4984580,4935380,4925540,4822237
Canada,CAN,Land,Forest area (sq. km),AG.LND.FRST.K2,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3480375,3478020,3475760,3473020,3470690,3470224.063,3468945.959
China,CHN,Land,Forest area (sq. km),AG.LND.FRST.K2,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1670705.469,1770005,1930439.063,2006102.969,2083212.969,2098635,2173725.583
German,DEU,Land,Forest area (sq. km),AG.LND.FRST.K2,113000,113000,113000,113000,113000,113000,113000,113270,113540,113840,114090,114190,114210,114429.3333
European Union,EUU,Land,Forest area (sq. km),AG.LND.FRST.K2,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1513302.597,1547363.495,1567387.299,1592350.192,1610812.392,1614504.803,1636348.935
France,FRA,Land,Forest area (sq. km),AG.LND.FRST.K2,144360,144360,144360,144360,144360,144360,144360,148625,152890,158610,164240,169890,171020,173107
United Kingdom,GBR,Land,Forest area (sq. km),AG.LND.FRST.K2,27780,27780,27780,27780,27780,27780,27780,28660,29540,30210,30590,31440,31610,32060.66667
Indonesia,IDN,Land,Forest area (sq. km),AG.LND.FRST.K2,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1089770,994090,978570,944320,910100,903256.0156,843218.4062
India,IND,Land,Forest area (sq. km),AG.LND.FRST.K2,639390,639390,639390,639390,639390,639390,639390,646645,653900,677090,697900,706820,708603.9844,715113.2604
Italy,ITA,Land,Forest area (sq. km),AG.LND.FRST.K2,75900,75900,75900,75900,75900,75900,75900,79795,83690,87590,90280,92970,93507.99805,96104.19922
Japan,JPN,Land,Forest area (sq. km),AG.LND.FRST.K2,249500,249500,249500,249500,249500,249500,249500,249130,248760,249350,249660,249580,249564.0039,249441.6016
South Korea,KOR,Land,Forest area (sq. km),AG.LND.FRST.K2,63700,63700,63700,63700,63700,63700,63700,63290,62880,62550,62220,61840,61763.99902,61544.26627
Mexico,MEX,Land,Forest area (sq. km),AG.LND.FRST.K2,697600,697600,697600,697600,697600,697600,697600,688080,678560,670830,664980,660400,659483.9844,652727.5938
Russian Federation,RUS,Land,Forest area (sq. km),AG.LND.FRST.K2,8089500,8089500,8089500,8089500,8089500,8089500,8089500,8091091.875,8092685,8087900,8151356.25,8149305,8148895,8149898.792
Saudi Arabia,SAU,Land,Forest area (sq. km),AG.LND.FRST.K2,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770
Turkey,TUR,Land,Forest area (sq. km),AG.LND.FRST.K2,96220,96220,96220,96220,96220,96220,96220,99025,101830,106620,112030,117150,118174.0039,119209.2682
United States,USA,Land,Forest area (sq. km),AG.LND.FRST.K2,3024500,3024500,3024500,3024500,3024500,3024500,3024500,3029930,3035360,3047570,3087200,3100950,3103700,3104807.333
South Africa,ZAF,Land,Forest area (sq. km),AG.LND.FRST.K2,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410
Argentina,ARG,Population,"Population, total",SP.POP.TOTL,20817266,20817266,23880561,25865776,27896528,30216279,32618651,34828170,36870787,38892931,40788453,43131966,43590368,44044811
Australia,AUS,Population,"Population, total",SP.POP.TOTL,10483000,10483000,12507000,13893000,14692000,15758000,17065100,18072000,19153000,20394800,22031750,23815995,24190907,24601860
Brazil,BRA,Population,"Population, total",SP.POP.TOTL,74311343,74311343,95113265,107216205,120694009,135274080,149003223,162019896,174790340,186127103,195713635,204471769,206163058,207833831
Canada,CAN,Population,"Population, total",SP.POP.TOTL,18271000,18271000,21324000,23143275,24515667,25842116,27691138,29302311,30685730,32243753,34004889,35702908,36109487,36540268
China,CHN,Population,"Population, total",SP.POP.TOTL,660330000,660330000,818315000,916395000,981235000,1051040000,1135185000,1204855000,1262645000,1303720000,1337705000,1371220000,1378665000,1386395000
German,DEU,Population,"Population, total",SP.POP.TOTL,73377632,73377632,78169289,78673554,78288576,77684873,79433029,81678051,82211508,82469422,81776930,81686611,82348669,82657002
European Union,EUU,Population,"Population, total",SP.POP.TOTL,412798418,412798418,441986158,454542377,464225439,470497179,477725565,484222373,488221138,495983155,504298777,509717579,511218529,512191098
France,FRA,Population,"Population, total",SP.POP.TOTL,47240543,47240543,51957738,53931390,55161527,56654696,58235697,59541899,60912500,63179351,65027507,66593366,66859768,66865144
United Kingdom,GBR,Population,"Population, total",SP.POP.TOTL,52800000,52800000,55663250,56225800,56314216,56550268,57247586,58019030,58892514,60401206,62766365,65128861,65595565,66058859
